drug,disease
Nitroimidazoles,Giardiasis
cefotetan,Osteomyelitis caused by Staphylococcus aureus
irinotecan,Metastatic malignant neoplasm to pancreas
octreotide,Chylothorax
naloxone,Functional disorder of intestine
urokinase,Pulmonary Embolism
lorcaserin hydrochloride,Obesity
Zomig,Migraine Disorders
trimethoprim sulfate,Bronchitis
mitomycin,Neoplasms
gemcitabine,Non-small cell lung cancer recurrent
lactulose,Liver Cirrhosis
cortisone,Conjunctivitis
ciclesonide,Asthma
penicillin G sodium,Bacterial Infections
citalopram,"Major depression, single episode"
triptorelin,Malignant neoplasm of prostate
silver nitrate,Warts
fluorouracil,Advanced cancer
penicillin G sodium,Respiratory Tract Infections
ipsapirone,Generalized Anxiety Disorder
telavancin hydrochloride,Staphylococcal Infections
mitotane,Cushing Syndrome
linezolid,"Staphylococcus, coagulase negative (organism)"
prednisolone,Thrombocytopenia
nitroglycerin,Premature Obstetric Labor
clotrimazole,Cutaneous Candidiasis
dexketoprofen trometamol,Dysmenorrhea
bretylium,"Tachycardia, Ventricular"
calcium levulinate,Hypocalcemia
"heparin, bovine",Cerebral Infarction
theophylline,Airways obstruction reversible
hydromorphone,Cancer Pain
clonazepam,Juvenile Myoclonic Epilepsy
"Analgesics, Opioid",Chronic low back pain
clarithromycin,"Pneumonia, Bacterial"
cefuroxime axetil,Acute gonococcal urethritis
perampanel,Tonic-Clonic Seizures
guaifenesin,Coughing
amoxicillin,Rhinoscleroma
pamabrom,Premenstrual Syndrome
carboplatin,Residual Tumor
nalmefene,Opioid toxicity
sulfamethoxazole,Proteus urinary tract infection
verapamil,Mycobacterium tuberculosis
Zoladex,Metastatic Prostate Carcinoma
phenylephrine,Proctitis
rivaroxaban,Renal Insufficiency
temazepam,Transient Insomnia
buprenorphine,Opioid Use Disorder
ribavirin,RNA Viruses
ciclopirox,Cutaneous Candidiasis
hydrocortisone,early adulthood
nortriptyline,Reflex Sympathetic Dystrophy Syndrome
Steroids,Bone necrosis
GR-43175,Migraine Disorders
topotecan,Small cell lung cancer extensive stage
glipizide,Diabetes
paroxetine,Postpartum Depression
risperidone,Asperger Syndrome
fexofenadine,Nasal congestion (finding)
diltiazem,Calcinosis
gemcitabine,Malignant neoplasm of gastrointestinal tract
sulfamerazine,Pneumonia
eltrombopag,Chronic idiopathic thrombocytopenic purpura
phenobarbital,Poisoning
hydrocortisone,Chronic ulcerative proctitis
erlotinib,Advanced cancer
tacrolimus,"Myasthenia Gravis, Generalized"
rasagiline,Neoplasms
lithium carbonate,Rheumatoid Arthritis
Opioids,Inflammatory Bowel Diseases
diltiazem,Proteinuria
trospium,Urinary Frequency
esmolol hydrochloride,Supraventricular tachycardia
zeaxanthin,Obesity
mesalamine,Diverticulosis
tetracycline,Nonspecific urethritis
testosterone,Father (person)
propafenone hydrochloride,Atrial Fibrillation
entecavir,Chronic Infection
chloramphenicol,Anthrax
folic acid,Hyperhomocysteinemia
ponatinib,B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1
Timothy grass pollen extract,Hypersensitivity
SN 38,Colorectal Carcinoma
tryptophan,Pellagra
dacarbazine,Cutaneous Melanoma
vitamin e,Nocturnal Leg Cramps
capecitabine,Postmenopausal state
medroxyprogesterone,Renal Cell Carcinoma
doxorubicin,AIDS with Kaposi's sarcoma
verapamil,Hypertensive (finding)
capecitabine,Breast Cancer
midazolam,Absence of sensation
glucose,Need for isolation
sirolimus,Restenosis
haloperidol,Substance Withdrawal Syndrome
echothiophate iodide,Angle Closure Glaucoma
bupropion,Major Depressive Disorder
ursolic acid,Atherosclerosis
doxepin,Depressive disorder
sodium chloride,Maximum
Steroids,Radiculopathy
sodium thiosulfate,Calciphylaxis
"2,4-thiazolidinedione","Diabetes Mellitus, Non-Insulin-Dependent"
propiolactone,Inactivation
tepotinib,Non-Small Cell Lung Carcinoma
astragaloside IV,Hypoxia
melatonin,inpatient
crizotinib,Malignant neoplasm of lung
levodopa,Neurologic Deficits
Fluimucil,Addictive Behavior
tacrine,Amnesia
oxymetazoline,Persistent erythema of skin
ciprofloxacin,Tympanostomy Tube Placement Surgery
carboprost tromethamine,"Cystitis, Hemorrhagic"
paclitaxel,Biliary Tract Cancer
ciprofloxacin,Dysentery
diltiazem,Chronic anal fissure
R-CHOP-Methotrexate Regimen,Mantle cell lymphoma
clindamycin hydrochloride,Bacterial Vaginosis
Particle,Metabolic Diseases
cefotaxime sodium,Sepsis
testosterone,Fat-free mass
pranlukast,Hay fever
simvastatin,High Cholesterol
calcium chloride,Hypermagnesemia
ibuprofen,Migraine Disorders
furosemide,Intracranial Hypertension
zinc oxide,Tinea Versicolor
iodixanol,Aortography
atorvastatin,Impaired cognition
diazepam,Acute myocardial infarction
abatacept,"Arthritis, Psoriatic"
omadacycline tosylate,"Skin Diseases, Bacterial"
prednisolone sodium succinate,Erythema Multiforme
clindamycin,Lung Abscess
digoxin,Chronic heart failure
fluorodeoxyglucose F18,Islet Cell Tumor
iloprost,Thromboangiitis Obliterans
artesunate,Complicated malaria
moclobemide,Depressive disorder
chloroquine sulfate,Rheumatoid Arthritis
doxycycline,Bartonellosis
ibrutinib,Chronic Lymphocytic Leukemia
carbamazepine,Alcohol withdrawal syndrome
melatonin,Reperfusion Injury
daptomycin,STERNUM WOUND INFECTION
epinephrine,Asthma
levalbuterol,COPD
posaconazole,Coccidioidomycosis
argipressin,Portal Hypertension
vinblastine,Mycosis Fungoides
"diphtheria and tetanus toxoids / pertussis, acellular / poliovirus vaccine, inactivated / haemophilus b conjugate / hepatitis b vaccine",Poliomyelitis Prophylaxis
cilastatin / imipenem,Endometritis
verapamil,Essential Hypertension
verapamil,"Tachycardia, Ventricular"
iloprost,Peripheral Vascular Diseases
dexmedetomidine,Depressive disorder
pitavastatin,Diabetic
finasteride,Prostatic Hypertrophy
carboplatin,Advanced cancer
heroin,Assisted (qualifier value)
aspirin,Obstruction
ceftazidime,"Infections, Hospital"
minocycline,Depressive disorder
epinephrine bitartrate,Bronchospasm
3-iodobenzylguanidine,"Ventricular Dysfunction, Left"
amlodipine,Stable angina
Histone deacetylase inhibitor,Cutaneous T-cell lymphoma refractory
acetohexamide,Diabetes Mellitus
sirolimus,Hypersensitivity
docetaxel,Triple Negative Breast Neoplasms
thiotepa,Lymphoma
cyclothiazide,Nephrotic Syndrome
betamethasone dipropionate,Facial Dermatoses
piperacillin sodium,Abdominal Infection
flavone acetic acid,Neoplasms
allantoin,Psoriasis
isotretinoin,Metastatic Renal Cell Cancer
clonidine,Postherpetic Neuralgia
idoxuridine,Virus
enalapril,Alport Syndrome
nevirapine hemihydrate,Acquired Immunodeficiency Syndrome
neomycin,Diarrhea
Histone deacetylase inhibitor,Solid Neoplasm
Challenge,Zoonoses
daunorubicin,Acute lymphocytic leukemia
tenofovir,Acquired Immunodeficiency Syndrome
"synthetic conjugated estrogens, A",Mammary Neoplasms
dobutamine,Ischemic cardiomyopathy
amoxicillin / clavulanate,Skin or Soft Tissue Infection
peginterferon alfa-2b,Brain Neoplasms
Opioids,Physicians
ketamine,Severe pain
gemcitabine,Ovarian Carcinoma
adenosine,Diabetic
erythromycin,Acute gonococcal endometritis
demeclocycline hydrochloride,Actinomycosis
calcitonin,Thyroid Nodule
amifostine,Malignant Neoplasms
warfarin,acute venous thrombosis
mannitol,Oliguria
duloxetine,Back Pain
D-biotin,Inborn Errors of Metabolism
moxisylyte,Erectile dysfunction
penicillin G procaine,Meningococcal Infections
doxorubicin,Breast Carcinoma
quifenadine,Allergic Conjunctivitis
acetophenazine maleate,Schizophrenia
gonadorelin,Ovarian Cysts
propranolol,Hypertrophy
"N,N-dimethylarginine",Diabetes
coagulation factor viia,Factor VII Deficiency
decitabine,Acute Myeloid Leukemia
linoleic acid,Total lipids
nalidixic acid,Urinary tract infection
phenylephrine,Hypotension
oxytetracycline,Gingivostomatitis
estrogens,Does run (finding)
choriogonadotropin alfa,Cryptorchidism
isosorbide dinitrate,African American
bambuterol,Bronchospasm
tetracycline,Bacterial Infections
sodium ascorbate,Methemoglobinemia
clobetasol,Lichen Planus
cyclacillin,Pneumococcal Infections
ferric sulfate,Arsenic Poisoning
acetyl sulfisoxazole,Bacterial Infections
norfloxacin,Bacterial infection caused by Klebsiella pneumoniae
albendazole,"Visceral Larva Migrans, Toxicariasis"
leptin,Diabetes
atenolol,Heart Attack (Myocardial Infarction)
propranolol,Intermittent Explosive Disorder
simvastatin,Cerebral Vasospasm
povidone (K-30) simethicone emulsion,"Skin Diseases, Viral"
tyrosine,Depressed mood
thymoquinone,Pancreatic carcinoma
"synthetic conjugated estrogens, A",Hypogonadism
fluticasone,"Asthma, Maintenance"
pyrimethamine,Toxoplasmosis
bevacizumab,Neurofibromatosis
dexamethasone,Asthma
strontium ranelate,Osteoporosis
cyclophosphamide,Refractory Plasma Cell Neoplasm
tegaserod,Irritable Bowel Syndrome
naproxen,Headache
hydrocortisone,"Kidney Failure, Chronic"
vitamin A palmitate,Nyctalopia
pantoprazole,Heartburn
ketoprofen,Sprain
pertuzumab-zzxf,Mammary Neoplasms
clopidogrel,"Ischemic Stroke, Prophylaxis"
rufinamide,Lennox-Gastaut syndrome
omeprazole,Asthma
morphine,Nausea
phenindamine tartrate,Urticaria
suramin,Acquired Immunodeficiency Syndrome
fludarabine,Chronic Lymphocytic Leukemia
cyclophosphamide,Generalized illness
fludarabine,Leukemia
Azaguanine,Salmonella typhimurium
alprazolam,Dysautonomia
estrogens,Hypersensitivity
rivaroxaban,Upper Extremity Deep Vein Thrombosis
alclometasone,Eczema
methotrexate,L2 Acute Lymphoblastic Leukemia
buflomedil,Peripheral Vascular Diseases
water,Stabilized (qualifier value)
quercetin,Polycystic Ovary Syndrome
lanthanum carbonate,Hyperphosphatemia (disorder)
ethambutol,"Mycobacterium avium-intracellulare, Treatment"
betahistine,Tinnitus
eslicarbazepine,Epilepsy
hydrocortisone acetate,Laryngeal Edema
tisagenlecleucel,B Cell Lymphoma
paclitaxel,Germ cell tumor
Pemafibrate,Dyslipidemias
hydrochlorothiazide,Diabetic
adenosine,Acute myocardial infarction
semaglutide,Nonalcoholic Steatohepatitis
alectinib,Metastatic malignant neoplasm to brain
clomiphene,Ovulation Induction
argipressin,Hypotension
tranexamic acid,Hemorrhage
4-hydroxybutyric acid,Drug Overdose
cloperastine,Coughing
prednisolone,Bell Palsy
fluorouracil,Malignant neoplasm of anus
clarithromycin,Rhinosinusitis
entecavir,Membranous glomerulonephritis
sildenafil,Systemic arterial pressure
sorafenib,Malignant epithelial neoplasm of thyroid
curcumin,Stomatitis
prochlorperazine,Nausea/Vomiting
calcium lactate,Osteomalacia
iodine,Neoplasms
itraconazole,Aspergillosis
angiotensin II,Chronic heart failure
hydroxyurea,Glioblastoma
doxycycline,Anthrax
kanamycin,Bacterial Infections
nedocromil,Childhood asthma
moxifloxacin,Salmonella infections
"cyclosporine, modified",Focal glomerulosclerosis
ergocalciferol,Osteoporosis
somatostatin,Hemorrhage
amikacin,Soft Tissue Infection
daptomycin,Native valve endocarditis
erythromycin stearate,Bacterial Infections
naproxen sodium,Primary dysmenorrhea
valproic acid,Mental disorders
testosterone,Testicular Diseases
prednisolone,Autoimmune Chronic Hepatitis
nicotine,Stress
moxifloxacin,Osteomyelitis
nicotinamide adenine dinucleotide (NAD),"Kidney Failure, Acute"
olanzapine,Aggressive behavior
simvastatin,Familial hypercholesterolemia - heterozygous
rituximab,Evan's Syndrome
quinidine,Ventricular arrhythmia
allopurinol,"Leishmaniasis, Cutaneous"
tamoxifen,"Breast Cancer, Metastatic"
haloprogin,Tinea corporis (disorder)
quercetin,Colitis
butorphanol,Shivering
naltrexone,Absence of sensation
iohexol,Peripheral Angiography
dalteparin,Renal Insufficiency
etoposide,Malignant Glioma
colchicine,Familial Mediterranean Fever
caplacizumab,Thrombotic Thrombocytopenic Purpura
dexamethasone,prenatal
quinine,Hypoglycemia
mesalamine,"Nephritis, Interstitial"
pentamidine,"Leishmaniasis, Visceral"
aspirin,"Diabetes Mellitus, Insulin-Dependent"
estradiol acetate,Menorrhagia
diflorasone diacetate,Seborrheic dermatitis
sulfasalazine,Psoriatic Arthritis
glucagon,Propranolol overdose
rosiglitazone,Diabetic
norfloxacin,Acute maxillary sinusitis
methoxsalen,Mycosis Fungoides
ivermectin,Encephalopathies
mirikizumab,Ulcerative Colitis
salicylate,Rheumatism
belladonna leaf extract,Gastrointestinal Diseases
hydrocortisone,Autoimmune Diseases
miltefosine,Leishmaniasis
phenylpropanolamine,Nasal congestion (finding)
omeprazole,Indigestion
hyoscyamine,Urinary Incontinence
ondansetron,"Alcoholic Intoxication, Chronic"
vigabatrin,"Seizures, Focal"
terfenadine,Nasal congestion (finding)
oxygen,Cerebrovascular accident
amantadine,Fatigue
hydroquinone,Discoloration of skin
testosterone,Mobility Limitation
amiodarone,Tachycardia
quercetin,Non-Small Cell Lung Carcinoma
sotalol,Hypertensive (finding)
pimozide,Gilles de la Tourette syndrome
tirofiban,Non-Q wave myocardial infarction
penicillin g potassium,Clostridioides difficile Infection
desonide,Atopic Dermatitis
Insulin,Insulin hypoglycemia
tetracycline,Chlamydia trachomatis infection of genital structure
menthol / zinc oxide,Diaper Rash
water,Seizures
trovafloxacin,Mycoplasma pneumonia
nitroglycerin,Uterine relaxation
prochlorperazine,Psychotic Disorders
lonidamine,melanoma
mitoxantrone,Breast Carcinoma
practolol,Angina Pectoris
moxifloxacin,Community-Acquired Infections
warfarin,Antiphospholipid Syndrome
fludrocortisone,"Hypotension, Orthostatic"
fluorouracil,Cervical Squamous Cell Carcinoma
Bevacizumab/Cisplatin/Paclitaxel Regimen,Cervix carcinoma
dexamethasone,Chronic inflammatory disorder
naltrexone,Hyperactive behavior
clozapine,nervous system disorder
FOLFOX Regimen,Rectal Carcinoma
dasatinib,Chronic Myelogenous Leukemia
triamcinolone acetonide,Nephrotic Syndrome
vigabatrin,Complex partial seizures
quinapril,Congestive heart failure
norfloxacin,Bacterial urinary infection
calcium glubionate,"Osteoporosis, Postmenopausal"
Opioids,Coughing
ranolazine,Angina Pectoris
gemcitabine,Triple Negative Breast Neoplasms
vidarabine anhydrous,Chickenpox
metformin,Endometrial Carcinoma
"zinc sulfate, heptahydrate",Wounds and Injuries
tretinoin,"Lichen Planus, Oral"
methylazoxymethanol,prenatal
lysine,Cow for milk production
fluticasone furoate,"Rhinitis, Allergic, Perennial"
degarelix,Prostate Cancer
azathioprine,Ulcerative Colitis
gemcitabine,Intrahepatic Cholangiocarcinoma
oteseconazole,"Candidiasis, Vulvovaginal"
bosentan,Pulmonary Fibrosis
cortisone acetate,Sarcoidosis
furosemide,Refractory heart failure
methdilazine,"Rhinitis, Allergic, Perennial"
cefoxitin,Endometritis
quinine sulfate,Muscle cramps in leg
docusate / senna,"Constipation, Acute"
cefuroxime,Staphylococcus aureus infection
water,Cyanobacteria
cimetidine hydrochloride,Duodenal Ulcer
penicillin G benzathine,Actinomycosis
acetylcysteine sodium,Poisoning
Taxol,Malignant neoplasm of lung
Opioids,Traumatic Brain Injury
lorazepam,Insomnia
omeprazole,Duodenal Ulcer
fluoxetine,Premenstrual Dysphoric Disorder
medroxyprogesterone,Endometrial Carcinoma
estradiol,Dyspareunia
efgartigimod alfa,"Myasthenia Gravis, Generalized"
vinblastine,Metastatic Carcinoma
testosterone,Heart failure
doxycycline,"Pleural Effusion, Malignant"
ceftizoxime,Staphylococcal Pneumonia
heparin sodium,"Angina, Unstable"
cefuroxime,Acute sinusitis
cefuroxime axetil,Septicemia
ibutilide,Atrial Flutter
aminophylline,Bronchitis
olanzapine,Bipolar Disorder
penicillin V benzathine,Gram-Positive Bacterial Infections
thyroid desiccated,"Hypothyroidism, After Thyroid Removal (Hypothyroidism, Post-Thyroidectomy)"
Opioids,Pain Disorder
methylene blue,Bipolar Disorder
dexamethasone,Acute Otitis Externa
fenfluramine hydrochloride,Seizures
fluconazole,Fungal Infections
cilostazol,"Infarction, Lacunar"
ciprofloxacin,Salmonella Gastroenteritis
erythromycin,Strep Throat (Streptococcal Pharyngitis)
sermorelin,Emaciation
mercaptopurine,Inflammatory Bowel Diseases
naloxone,Cancer Pain
cytarabine,Acute Nonlymphocytic Leukemia
tedizolid phosphate,Streptococcal infection of skin
methyltestosterone,Erectile dysfunction
ciprofloxacin hydrochloride,Klebsiella Infections
doxazosin,Raynaud's Syndrome
entecavir,Decompensated cirrhosis of liver
chlorpromazine,Nausea
hesperidin,Impaired cognition
trospium,Overactive Bladder
baicalin,Diabetic Nephropathy
methotrexate,Angioendotheliomatosis
ranolazine,Coronary microvascular dysfunction
lapatinib ditosylate,Mammary Neoplasms
fluoxymesterone,Noonan Syndrome
clindamycin,Acquired Immunodeficiency Syndrome
somatostatin,Pancreatic Pseudocyst
ferumoxsil,Anemia
dexamethasone,Immune thrombocytopenic purpura
carboplatin,Advanced Malignant Solid Neoplasm
regorafenib,Sarcoma
cefuroxime axetil,Klebsiella Infections
sodium ascorbate,Common Cold
magnesium sulfate,Seizures
cyclizine,Motion Sickness
mitomycin,Eye Neoplasms
acitretin,Psoriasis
bromocriptine,Pituitary Neoplasms
trovafloxacin,Chlamydia Infections
"aluminum hydroxide, dried (USP)",Gastrointestinal Hemorrhage
sacituzumab govitecan,Metastatic Triple-Negative Breast Carcinoma
prednisone,Acute asthma
ketoconazole,Scurfiness of scalp
baicalein,Colitis
Mirena,Menorrhagia
cladribine,"Multiple Sclerosis, Relapsing-Remitting"
docetaxel,Epithelial ovarian cancer
Sitamaquine,"Leishmaniasis, Visceral"
testosterone cypionate,Hot flushes
bupivacaine,"Pain, Postoperative"
isotretinoin,Facial wart
ramipril,Left Ventricular Dysfunction
piroxicam,Degenerative polyarthritis
artemisinin,Fibrosis
Taxol,Refractory cancer
haloperidol,Akathisia
sulfacetamide,Iridocyclitis
tadalafil,Benign Prostatic Hyperplasia
griseofulvin,Tinea barbae
quinine,Fever
reserpine,Schizophrenia
mometasone,Eczema
streptomycin,Subacute Bacterial Endocarditis
diltiazem,Exercise-induced angina
metoclopramide,Essential Hypertension
olaparib,ovarian neoplasm
prednisone,Transplanted organ rejection
Opioids,Kidney Failure
iron,Cancer anemia
carvedilol,"Cardiomyopathy, Dilated"
etanercept-szzs,Juvenile arthritis
rifabutin,Helicobacter Infections
alatrofloxacin,Mycoplasma pneumonia
curcumin,Squamous cell carcinoma
donepezil,Traumatic Brain Injury
nitroglycerin,Hypertensive (finding)
altretamine,Ovarian Carcinoma
dabigatran etexilate,Atrial Fibrillation
erythromycin,Staphylococcal Infections
pemetrexed,Malignant neoplasm of breast
medroxyprogesterone,Gender Dysphoria
glutaral,Encounter for sterilization
budesonide,Protein-Losing Enteropathies
thymoquinone,Triple Negative Breast Neoplasms
"N,N-dimethylarginine","Kidney Failure, Chronic"
gatifloxacin,Staphylococcal Infections
secnidazole,Giardiasis
flurbiprofen,"Pain, Postoperative"
efaproxiral,Metastatic malignant neoplasm to brain
thyroglobulin,Autoimmune thyroiditis
octreotide,Endocrine Gland Neoplasms
bismuth subnitrate,Stomach Diseases
isoproterenol,Knock-out
hydrocortisone acetate,Multiple Sclerosis
quinine dihydrochloride,Babesiosis
indapamide,Heart failure
Lysergic Acid Diethylamide,Mental disorders
Steroids,Glomerulonephritis
epinephrine,Heart Diseases
teniposide,Lymphoid leukemia
chlorambucil,Thrombocytosis
pantoprazole,Reflux
Salicylates,Rheumatic Fever
amphotericin B,Systemic candidiasis
quinidine sulfate,Cardiac Arrhythmia
vincristine,Mantle Cell Lymphoma
cisplatin,Adenoid Cystic Carcinoma
entecavir,partial response
sirolimus,Inactivation
tonabersat,Migraine Disorders
kanamycin,Infection of bone
hydrocortisone,Infertility
doxapram hydrochloride,Respiratory Hypersensitivity
sorafenib,Metastatic malignant neoplasm
triamcinolone diacetate,Lichen Simplex Chronicus
mepenzolate bromide,Peptic Ulcer
doxepin,inpatient
olopatadine,Atopic rhinitis
letrozole,Livebirth
Triton X-100,Need for isolation
moxifloxacin,"Pneumonia, Bacterial"
gemcitabine,Refractory Neoplasm
calcium,Social Networks
pheniramine,Allergic rhinitis (disorder)
povidone K12,"Eye Infections, Viral"
fusidic acid,Inhalational anthrax
tirofiban,Acute myocardial infarction
metronidazole,Amebiasis
bortezomib,Primary amyloidosis
lansoprazole,NSAID-Induced Gastric Ulcer
carbimazole,Agranulocytosis
estriol,Climacteric discomfort
amino(diphenylhydantoin) valeric acid,Epilepsy
mometasone furoate,Lichen Simplex Chronicus
streptomycin,"Tuberculosis, Osteoarticular"
magnesium oxide,Constipation
caspofungin,Pneumocystis jiroveci pneumonia
milrinone,"Shock, Cardiogenic"
iron,Hepatolenticular Degeneration
pregabalin,Postherpetic neuralgia
Bombesin,Malignant Neoplasms
nortriptyline,Depressive disorder
efavirenz,Acquired Immunodeficiency Syndrome
digoxin,Ejection Fraction Decreased
labetalol,Hypertension complicating pregnancy
"N,N-dimethylarginine",Chronic heart failure
selinexor,Relapse multiple myeloma
Challenge,Invasive Fungal Infections
theophylline,Childhood asthma
flunisolide,Asthma
vitamin E,Cardiovascular Diseases
lactic acid,Neoplasms
certoparin,Deep Vein Thrombosis
bardoxolone methyl,Chronic Kidney Diseases
granisetron,Vomiting
rufinamide,Epilepsy
homatropine,Constipation
cephalothin,Haemophilus influenzae pneumonia
niacin,Hyperlipidemia
methdilazine,"Dermatitis, Allergic Contact"
desvenlafaxine,Narcolepsy
voriconazole,Paracoccidioidomycosis
norepinephrine,"Shock, Cardiogenic"
cyclophosphamide,Acquired aplastic anemia
dipyridamole,IGA Glomerulonephritis
mezlocillin,Gonorrhea
gemcitabine,Platinum-Resistant Ovarian Carcinoma
econazole,Tinea Corporis
paclitaxel,Hypersensitivity
copper,Diabetes
cyclophosphamide,Breast cancer stage II
baicalin,Colitis
terfenadine,Rhinorrhea
epirubicin,Epithelial ovarian cancer
Opioids,Dyspnea
lanreotide,Neuroendocrine Carcinoma
oxycodone,Cancer Pain
ursodiol,Inflammatory Bowel Diseases
pseudoephedrine polistirex,Asthma
carvedilol,Cardiomyopathies
dronabinol,Multiple Sclerosis
curcumin,Cystic Fibrosis
testosterone,African
estradiol,Eutheria
suramin,Malignant neoplasm of prostate
warfarin,Cerebrovascular accident
cetirizine,"Rhinitis, Allergic, Perennial"
metronidazole,Bacterial Infection
famciclovir,Herpes Zoster
nesiritide,Cardiovascular Diseases
cefprozil,Klebsiella Infections
mitomycin,"Glaucoma, Neovascular"
methapyrilene hydrochloride,"Rhinitis, Allergic, Perennial"
sildenafil,Idiopathic Pulmonary Fibrosis
prednisone,Loeffler's Syndrome (Pulmonary Eosinophilia)
estradiol,Malignant neoplasm of breast
itraconazole,Invasive Pulmonary Aspergillosis
temozolomide,Pituitary Adenoma
ceftibuten,Bronchitis
methylprednisolone,Disorder of eye
sodium phosphate,Hypophosphatemia
methotrexate,Gastric Cancer
isoproterenol,Respiratory Failure
cyclosporine,Cogan's Syndrome
ampicillin,"Pregnancy Complications, Infectious"
paclitaxel,Anaplastic thyroid carcinoma
piperacillin,Urinary tract infection
carisoprodol,Muscle Rigidity
iodine,Malignant neoplasm of thyroid
resveratrol,Nerve Degeneration
anlotinib,Carcinoma breast stage IV
penicillin G procaine,Streptococcal tonsillitis
ginsenoside Rg1,Functional disorder
ziprasidone,Gilles de la Tourette syndrome
clotrimazole,Vaginal Yeast Infection
nitrendipine,Hypertensive (finding)
nivolumab,Urothelial Carcinoma
maraviroc,HIV
quercetin,Malignant neoplasm of stomach
carnitine,Polycystic Ovary Syndrome
naltrexone,Drug Overdose
indomethacin,Eosinophilic pustular folliculitis
"doxylamine succinate, (R)-",Antiemetic Effect
meperidine,Absence of sensation
topotecan,Cancer
ivermectin,Neglected Diseases
ebselen,Reperfusion Injury
methotrexate,"Arthritis, Psoriatic"
epoprostenol,Angina Pectoris
milrinone,Cerebral Ischemia
benoxaprofen,Degenerative polyarthritis
fluorouracil,Metastatic Esophageal Squamous Cell Carcinoma
acetaminophen,Headache Disorders
octreotide,Enterocutaneous Fistula
mefenamic acid,Rheumatoid Arthritis
methylprednisolone acetate,Serum Sickness
trastuzumab-dttb,Mammary Neoplasms
piperaquine,Malaria
thiamine disulfide,Alcoholic Neuropathy
pindolol,Asthma
Tivantinib,Liver carcinoma
faricimab-svoa,Diabetic Retinopathy
metronidazole,Necrotizing Ulcerative Gingivitis
vincristine,Reticulosarcoma
trimethoprim,Staphylococcus aureus
"3,5-diisopropylsalicylic acid",Suicide
isoflurane,Obesity
papaverine codecarboxylate,Erectile dysfunction
sodium chloride,Obstruction
iodine,Surgical Wound Infection
Emodin,Pancreatitis
rutin,Fibrosis
streptozocin,Hypoglycemia
nelfinavir mesylate,Acquired Immunodeficiency Syndrome
midazolam,Sleeplessness
"albumin human, USP",Hypoalbuminemia
cenegermin-bkbj,Keratitis
acetate,Malignant Neoplasms
azithromycin,Neisseria
gemcitabine,Congenital contractural arachnodactyly
lithium,Mental Depression
methyl 5-aminolevulinate,Skin Nodular Basal Cell Carcinoma
"N,N-dimethylarginine",Heart failure
Tobacco,Malignant neoplasm of mouth
bupranolol,Tachycardia
trastuzumab-oysk,Gastrointestinal Neoplasms
disopyramide,Atrioventricular Block
Doxium,Diabetic Retinopathy
testosterone,Macaca radiata
bromocriptine,Neoplasms
ranitidine hydrochloride,Gastric ulcer
triptolide,Non-Small Cell Lung Carcinoma
desmopressin,Diabetes Insipidus
folic acid,Erectile dysfunction
dimethyl isosorbide,Heart failure
aspirin,Restenosis
norfloxacin,Pseudomonas Infections
calcifediol,Rickets
atorvastatin,"Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL"
arsenic trioxide,Liver and Intrahepatic Biliary Tract Carcinoma
minocycline,Neuropathy
latanoprostene bunod,Ocular Hypertension
dimercaprol,Intoxication
etoposide,Malignant Pleural Mesothelioma
lubiprostone,Opioid-Induced Constipation
nelarabine,leukemia
urea,Dry skin
cefpodoxime proxetil,Maxillary Sinusitis
water,Septicemia
clindamycin,Acne Vulgaris
delavirdine mesylate,Acquired Immunodeficiency Syndrome
oxygen,High altitude pulmonary edema
fluocinonide,Foot Dermatoses
diphenhydramine,Nausea/Vomiting
ebastine,Chronic Spontaneous Urticaria
pyridostigmine,Diabetic
follicle stimulating hormone,Follicle Stimulation
resveratrol,Insulin Resistance
letrozole,Estrogen receptor positive breast cancer
Steroids,Rheumatism
morphine,Pancreatitis
Steroids,Low Back Pain
vitamin A,Malaria
sulthiame,Seizures
griseofulvin,Tinea Cruris
sodium thiosulfate anhydrous,Tinea Versicolor
paclitaxel,Esophageal carcinoma
ethanol,Calcified (qualifier value)
sertraline,Generalized Anxiety Disorder
sermorelin,Pituitary dwarfism
diazoxide,Hypertensive Crisis
trandolapril,Acute myocardial infarction
ampicillin,Acute diarrhea
propranolol,Angina Pectoris
aspirin,Deep Vein Thrombosis
ergocalciferol,Vitamin D Deficiency
adefovir dipivoxil,Hepatitis B
roxatidine acetate,Gastric ulcer
cromoglycate,Rhinitis perennial
rimegepant,Migraine Disorders
nalidixic acid,Klebsiella Infections
zinc sulfate anhydrous,Skin Ulcer
pilocarpine nitrate,Angle Closure Glaucoma
terbinafine,Tinea Capitis
alendronate,Hypercalcemia
Prostaglandins,Ectopic Pregnancy
idarubicin,Malignant neoplasm of breast
doxylamine,Allergies
Steroids,Rheumatoid Arthritis
cefmetazole,Bacterial Infections
ciprofloxacin,Infectious Diarrhea
tramadol,Degenerative polyarthritis
praziquantel,Cysticercosis
amikacin,Severe infection
erythromycin,Diffuse panbronchiolitis
urokinase,Ischemia
insulin regular,Insulin Resistance Syndrome (Metabolic Syndrome)
cerivastatin sodium,Hypercholesterolemia
"dextran, low molecular weight",Venous Thromboembolism
colistin,Communicable Diseases
clobetasol propionate,Vitiligo
